userid,loc,date
wjd@naver.com,page2_3,2023-05-31 18:00:26.013932
wjd@naver.com,page2_tip1,2023-05-31 18:00:26.013932
wjd@naver.com,page2_3,2023-05-31 18:00:26.189541
wjd@naver.com,page2_tip1,2023-05-31 18:00:26.189541
wjd@naver.com,page1_2,2023-05-31 18:05:01.372241
aa,page1_2,2023-06-04 23:49:27.549803
aa,page2_2,2023-06-04 23:49:40.306711
aa,page2_2,2023-06-04 23:49:41.905309
aa,page2_tip1,2023-06-04 23:49:41.905309
aa,ans_submit,2023-06-04 23:49:55.374317
aa,page1_1,2023-06-04 23:50:00.482053
aa,page1_2,2023-06-04 23:50:00.482053
aa,page2_1,2023-06-04 23:50:00.482053
aa,page2_2,2023-06-04 23:50:00.482053
aa,ans_submit,2023-06-05 12:33:20.379020
aa,page1_1,2023-06-05 12:33:45.960301
aa,page1_2,2023-06-05 12:33:45.960301
aa,page2_1,2023-06-05 12:33:45.960301
aa,page2_2,2023-06-05 12:33:45.960301
aa,page1_1,2023-06-05 12:39:38.136544
aa,page0_1,2023-06-05 12:51:07.675986
aa,page0_2,2023-06-05 12:51:42.080063
aa,page2_1,2023-06-05 13:05:07.946334
aa,page1_1,2023-06-07 17:24:07.558471
aa,page1_1,2023-06-07 17:24:32.491974
aa,page1_1,2023-06-07 17:24:33.986885
aa,page1_1,2023-06-07 17:24:35.613212
aa,ans_submit,2023-06-07 17:24:51.378773
aa,page1_1,2023-06-07 17:25:24.212719
aa,page1_2,2023-06-07 17:25:24.212719
aa,page2_1,2023-06-07 17:25:24.212719
aa,page2_2,2023-06-07 17:25:24.212719
aa,ans_submit,2023-06-07 17:25:40.415102
jjw123@naver.com,page0_1,2023-06-13 15:10:57.333539
jjw123@naver.com,page0_2,2023-06-13 15:11:02.608206
jjw123@naver.com,page0_1,2023-06-13 15:11:04.175382
jjw123@naver.com,page0_1,2023-06-13 15:11:06.144677
jjw123@naver.com,page0_1,2023-06-13 15:11:12.743682
jjw123@naver.com,page0_1,2023-06-13 15:11:38.968067
jjw123@naver.com,page0_tip1,2023-06-13 15:11:38.968067
jjw123@naver.com,page0_2,2023-06-13 15:12:39.631940
jjw123@naver.com,page0_2,2023-06-13 15:13:38.882694
jjw123@naver.com,page0_tip2,2023-06-13 15:13:38.882694
jjw123@naver.com,page1_1,2023-06-13 15:14:11.230635
jjw123@naver.com,page1_2,2023-06-13 15:18:42.971520
jjw123@naver.com,page2_1,2023-06-13 15:18:47.244378
jjw123@naver.com,page2_2,2023-06-13 15:18:49.043947
jjw123@naver.com,page2_3,2023-06-13 15:18:50.963140
jjw123@naver.com,page0_1,2023-06-13 15:19:08.777280
jjw@ab.com,page1_1,2023-06-13 15:24:50.506694
jjw@ab.com,page1_2,2023-06-13 15:26:49.123632
jjw@ab.com,page1_2,2023-06-13 15:29:03.292874
jjw@ab.com,page1_2,2023-06-13 15:29:10.887467
jjw@ab.com,page1_2,2023-06-13 15:29:19.190940
jjw@ab.com,page1_2,2023-06-13 15:30:07.996316
jjw@ab.com,ans_submit,2023-06-13 15:31:44.397250
jjw@ab.com,ans_submit,2023-06-13 15:32:26.900959
jjw@ab.com,ans_submit,2023-06-13 15:32:49.649099
jjw@ab.com,ans_submit,2023-06-13 15:33:12.328372
jjw@ab.com,ans_submit,2023-06-13 15:33:35.997078
jjw@ab.com,page1_1,2023-06-13 15:34:00.606360
jjw@ab.com,page2_2,2023-06-13 15:34:00.606360
jjw@ab.com,page1_1,2023-06-13 15:34:22.677467
jjw@ab.com,page2_2,2023-06-13 15:34:22.677467
jjw@ab.com,page1_1,2023-06-13 15:34:30.775544
jjw@ab.com,page2_2,2023-06-13 15:34:30.775544
jjw@ab.com,page1_1,2023-06-13 15:34:36.209845
jjw@ab.com,page2_2,2023-06-13 15:34:36.209845
jjw@ab.com,page1_1,2023-06-13 15:35:02.153876
jjw@ab.com,page2_2,2023-06-13 15:35:02.153876
jjw1234@naver.com,page0_1,2023-06-13 15:38:39.929973
jjw09@na.com,page0_1,2023-06-13 15:40:32.231295
jjw09@na.com,page0_1,2023-06-13 15:41:20.554109
jjw09@na.com,page0_tip1,2023-06-13 15:41:20.554109
jjw09@na.com,page0_2,2023-06-13 15:41:28.374023
jjw09@na.com,page1_1,2023-06-13 15:42:12.477813
jjw09@na.com,page1_2,2023-06-13 15:44:21.633067
jjw09@na.com,page1_2,2023-06-13 15:45:59.334048
jjw09@na.com,page2_1,2023-06-13 15:47:00.945012
jjw09@na.com,page2_1,2023-06-13 15:47:11.846044
jjw09@na.com,page2_2,2023-06-13 15:47:14.337118
jjw09@na.com,page2_3,2023-06-13 15:47:16.955963
jjw09@na.com,ans_submit,2023-06-13 15:48:12.842104
jjw09@na.com,page1_1,2023-06-13 15:48:27.506904
jjw09@na.com,page2_2,2023-06-13 15:48:27.506904
jjw09@na.com,page1_1,2023-06-13 15:48:39.667838
jjw09@na.com,page2_2,2023-06-13 15:48:39.667838
jjw09@na.com,page1_1,2023-06-13 15:49:08.799181
jjw09@na.com,page2_2,2023-06-13 15:49:08.799181
jjw09@na.com,page0_1,2023-06-13 15:49:19.944030
jjw09@na.com,page1_1,2023-06-13 15:49:24.219418
jjw09@na.com,page1_2,2023-06-13 15:49:33.779706
aa,page1_1,2023-07-16 20:23:47.706820
aa,page1_tip1,2023-07-16 20:52:08.174989
aa,page1_tip1,2023-07-16 20:52:34.210239
aa,page1_1,2023-07-16 20:59:01.595440
aa,page1_1,2023-07-16 20:59:31.969971
aa,page1_tip1,2023-07-16 20:59:31.969971
aa,page1_tip1,2023-07-16 21:01:48.355637
aa,page1_tip1,2023-07-16 21:06:42.721290
aa,page1_tip1,2023-07-16 21:07:54.802246
aa,page1_1,2023-07-16 21:08:06.187238
aa,page1_1,2023-07-16 21:08:13.663585
aa,page1_tip1,2023-07-16 21:08:13.663585
aa,page1_tip1,2023-07-16 21:09:46.047506
aa,page1_tip1,2023-07-16 21:10:54.960114
aa,page1_tip1,2023-07-16 21:18:47.172858
aa,page1_tip1,2023-07-16 23:50:36.900823
aa,page1_1,2023-07-19 17:50:06.905804
aa,page1_1,2023-07-19 17:50:12.066218
aa,page1_tip1,2023-07-19 17:50:12.066218
aa,page0_1,2023-07-19 22:18:42.491332
aa,page1_1,2023-07-19 22:28:40.400848
aa,page1_1,2023-07-19 22:29:36.851509
aa,page0_1,2023-07-19 22:30:09.435498
aa,page0_2,2023-07-19 22:30:11.085841
aa,page0_1,2023-07-19 22:30:19.452697
aa,page0_1,2023-07-19 22:36:04.749164
aa,page0_1,2023-07-19 22:38:51.841211
aa,page0_2,2023-07-19 22:38:53.770391
aa,page1_1,2023-07-19 22:41:24.693885
aa,page1_2,2023-07-19 22:42:04.954306
aa,page2_1,2023-07-19 22:42:13.627848
aa,ans_submit,2023-07-19 22:42:23.946234
aa,page1_1,2023-07-19 22:42:29.016785
aa,page1_2,2023-07-19 22:42:29.016785
aa,page2_1,2023-07-19 22:42:29.016785
aa,page2_2,2023-07-19 22:42:29.016785
