StudentID,ans1,ans2,ans3,ans4,date
adfa,asdf,asdfa,sdf,asdf,2023-05-23 16:38:49.144848
adfa,답1,asdf,adf,df,2023-05-23 16:39:05.802102
아아아,ㅁㄴㅇ,ㄴㅁㅇ,ㅇ,ㅁ,2023-05-23 16:39:31.112987
ㅁㅇㄹ,답1,ㅇㄹ,ㄴㅇㄹ,ㄴㅇㄹ,2023-05-23 16:50:56.648027
ㅁㅇㄹ,답1,ㅁㅇㄹ,답1,ㅁㅇㄴㄹ,2023-05-23 16:51:41.500631
ㅁㅇㄹㅁ,ㅁㄴㅇㄹㅁ,ㅁㄴㅇㄹㅁㄴㅇㄹ,ㅁㄴㅇㄹㅁ,ㅇㅁㄹ,2023-05-23 16:52:57.793659
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:48.061090
민준 킴,7,8,1,2,5,2023-05-31 16:58:08.975196
민준 킴,1,2,15,14,5,2023-05-31 16:58:33.304863
민준 킴,1,2,15,14,5,2023-05-31 16:58:33.729401
로그인,1,2,3,4,5,2023-05-31 17:01:29.701138
dfa,2,2,2,2,2,2023-05-31 17:17:45.855275
f5,a,a,a,a,a,2023-05-31 17:22:48.252683
peter@naver.com,5,5,5,5,5,2023-05-31 17:45:53.221246
aa,5,5,5,5,5,2023-06-04 23:49:55.374317
aa,5,5,5,5,5,2023-06-05 12:33:20.379020
aa,5,5,5,5,5,2023-06-07 17:24:51.378773
aa,14,14,14,14,5,2023-06-07 17:25:40.415102
jjw@ab.com,8,14,15,11,5,2023-06-13 15:31:44.397250
jjw@ab.com,7,8,15,11,5,2023-06-13 15:32:26.900959
jjw@ab.com,7,8,15,14,11,2023-06-13 15:32:49.649099
jjw@ab.com,7,8,15,12,5,2023-06-13 15:33:12.328372
jjw@ab.com,6,8,15,12,5,2023-06-13 15:33:35.997078
jjw09@na.com,6,8,15,12,5,2023-06-13 15:48:12.842104
aa,5,5,5,5,5,2023-07-19 22:42:23.946234
